               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12553,            0.021752,            0.025281,                   0,                   0,                   0,                   0,             0.12998,             0.01802,            0.023084,             0.00032,             0.00032,             0.09712
                   1,             0.11598,             0.01632,            0.019621,                   0,                   0,                   0,                   0,             0.12204,            0.015675,             0.01892,          0.00064998,          0.00064998,             0.09415
                   2,             0.11388,            0.013597,             0.01648,          4.1478e-05,           0.0072464,          2.0307e-05,          6.0921e-06,             0.12057,            0.013964,            0.015881,           0.0009799,           0.0009799,             0.09118
                   3,             0.11281,            0.013031,            0.014881,          4.5958e-05,           0.0072464,          1.9791e-05,          1.9791e-06,             0.11525,            0.013934,            0.014386,           0.0013097,           0.0013097,             0.08821
                   4,               0.108,            0.012101,            0.013293,                   0,                   0,                   0,                   0,             0.11436,            0.013356,            0.012775,           0.0016394,           0.0016394,            0.085239
                   5,             0.11018,            0.011851,            0.012733,                   0,                   0,                   0,                   0,             0.11382,            0.012975,            0.012202,           0.0019688,           0.0019688,            0.082269
                   6,             0.10582,            0.012392,             0.01165,          0.00043685,           0.0072464,          5.1782e-05,          7.4174e-06,             0.11198,            0.012917,            0.011923,            0.002298,            0.002298,            0.079298
                   7,            0.099803,            0.011846,            0.012141,          7.0522e-05,            0.014493,          3.6695e-05,          9.1399e-06,             0.11397,              0.0127,            0.011731,           0.0026268,           0.0026268,            0.076327
                   8,              0.1039,            0.011954,            0.011052,          0.00083553,            0.057971,          0.00038196,          6.7794e-05,             0.10799,            0.013082,            0.012003,           0.0029553,           0.0029553,            0.073355
                   9,             0.10121,            0.012903,            0.011431,             0.50389,            0.021739,          0.00077062,          0.00016077,             0.10789,            0.012689,            0.011621,           0.0032834,           0.0032834,            0.070383
                  10,            0.097047,            0.012588,            0.010351,             0.53832,            0.043478,             0.01354,           0.0028888,             0.10361,            0.013697,            0.011229,           0.0036111,           0.0036111,            0.067411
                  11,            0.093465,            0.013103,             0.01084,            0.037841,            0.063347,            0.010726,           0.0020825,            0.099302,            0.014002,            0.011127,           0.0039382,           0.0039382,            0.064438
                  12,            0.091568,            0.013363,           0.0099399,            0.093625,            0.092333,            0.026204,           0.0056731,            0.096798,            0.013299,            0.010551,           0.0042648,           0.0042648,            0.061465
                  13,            0.089827,            0.012962,            0.010966,              0.1688,             0.22955,            0.061091,            0.011623,             0.08423,            0.012479,             0.01099,           0.0045908,           0.0045908,            0.058491
                  14,            0.084984,             0.01261,           0.0092556,             0.14621,             0.10683,            0.037763,           0.0083764,             0.09081,            0.013222,            0.010837,           0.0049162,           0.0049162,            0.055516
                  15,            0.086566,            0.011884,           0.0096614,             0.14273,             0.27466,            0.080029,            0.020869,            0.085612,            0.012517,             0.01003,           0.0052408,           0.0052408,            0.052541
                  16,            0.083983,            0.012454,           0.0083633,             0.17307,             0.25129,            0.091262,            0.021641,            0.083275,            0.011424,            0.010104,           0.0055647,           0.0055647,            0.049565
                  17,            0.081744,            0.011522,           0.0085982,             0.19085,             0.13721,            0.079909,            0.019863,            0.089449,             0.01208,            0.011807,           0.0058878,           0.0058878,            0.046588
                  18,            0.082119,            0.012675,            0.008929,             0.22254,             0.21646,             0.10863,            0.029084,            0.089768,            0.012013,            0.010339,           0.0062101,           0.0062101,             0.04361
                  19,            0.081259,            0.011994,           0.0085135,              0.3015,             0.15358,            0.076196,            0.026163,             0.08539,            0.012051,            0.010111,           0.0065315,           0.0065315,            0.040631
