               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12553,            0.021752,            0.025278,                   0,                   0,                   0,                   0,             0.13017,             0.01809,            0.023096,             0.00032,             0.00032,             0.09712
                   1,             0.11582,            0.016325,            0.019643,                   0,                   0,                   0,                   0,             0.12147,            0.015412,            0.018713,          0.00064994,          0.00064994,             0.09415
                   2,             0.11382,            0.013635,              0.0165,                   0,                   0,                   0,                   0,             0.11897,            0.014324,            0.015101,          0.00097961,          0.00097961,             0.09118
                   3,             0.11473,            0.012991,            0.014635,                   0,                   0,                   0,                   0,             0.11959,            0.013752,            0.014817,           0.0013088,           0.0013088,            0.088209
                   4,             0.10891,            0.012026,            0.013367,                   0,                   0,                   0,                   0,             0.11824,            0.013433,            0.012806,           0.0016374,           0.0016374,            0.085237
                   5,             0.11065,            0.011863,            0.012754,                   0,                   0,                   0,                   0,             0.11164,            0.012998,            0.012354,           0.0019651,           0.0019651,            0.082265
                   6,             0.10693,             0.01232,            0.011815,          5.1576e-05,           0.0072464,           1.861e-05,           5.583e-06,               0.115,            0.012939,              0.0119,           0.0022918,           0.0022918,            0.079292
                   7,             0.10103,            0.011736,            0.012102,          0.00031143,            0.057971,          0.00017411,          2.9696e-05,             0.10871,            0.012476,            0.011758,           0.0026173,           0.0026173,            0.076317
                   8,              0.1037,            0.011861,            0.011046,          0.00080702,           0.0072464,           0.0002053,          4.1672e-05,             0.11113,            0.012394,            0.011664,           0.0029413,           0.0029413,            0.073341
                   9,             0.10065,            0.012861,            0.011338,           0.0014377,            0.050725,          0.00053399,          0.00010941,             0.10589,            0.012737,            0.011463,           0.0032638,           0.0032638,            0.070364
                  10,            0.097411,            0.012523,            0.010377,             0.59171,            0.028986,            0.012329,            0.001686,             0.10991,             0.01309,            0.011274,           0.0035844,           0.0035844,            0.067384
                  11,            0.094257,            0.013141,            0.011013,             0.52706,            0.072464,            0.016363,           0.0035939,            0.099749,            0.014275,            0.011185,            0.003903,            0.003903,            0.064403
                  12,            0.091896,            0.013463,           0.0099462,              0.5451,            0.094203,            0.024164,           0.0052833,            0.097403,            0.013635,            0.010993,           0.0042195,           0.0042195,            0.061419
                  13,             0.09091,            0.013133,            0.010982,            0.093279,             0.22043,             0.04111,           0.0082666,            0.087856,            0.012197,            0.010999,           0.0045336,           0.0045336,            0.058434
                  14,            0.083642,            0.012725,           0.0093496,             0.15771,             0.24591,            0.088207,            0.018469,            0.084887,            0.012301,            0.010527,           0.0048451,           0.0048451,            0.055445
                  15,             0.08501,            0.011834,           0.0092817,             0.12217,             0.17321,            0.074809,            0.016585,            0.091377,            0.011546,           0.0098388,           0.0051539,           0.0051539,            0.052454
                  16,            0.082012,             0.01245,           0.0083267,             0.19369,             0.22931,            0.092777,            0.025351,            0.081254,            0.012058,           0.0097542,           0.0054598,           0.0054598,             0.04946
                  17,            0.081249,            0.011547,           0.0086739,             0.18727,              0.1496,            0.086698,            0.017703,            0.079814,            0.011824,            0.010031,           0.0057626,           0.0057626,            0.046463
                  18,             0.08251,            0.012712,           0.0089932,             0.17101,             0.29032,             0.11355,            0.036702,            0.078833,             0.01185,           0.0097778,           0.0060622,           0.0060622,            0.043462
                  19,             0.08033,            0.012095,           0.0082481,              0.2083,             0.21248,             0.10413,            0.021655,            0.081941,            0.011656,           0.0096584,           0.0063583,           0.0063583,            0.040458
                  20,            0.075437,             0.01182,           0.0084824,             0.19146,             0.18747,             0.08516,            0.022495,            0.090563,            0.011379,            0.010157,           0.0066508,           0.0066508,            0.037451
                  21,            0.080034,            0.012142,           0.0079394,             0.12936,             0.10986,            0.045112,            0.013072,            0.089691,            0.012395,            0.010053,           0.0069395,           0.0069395,            0.034439
                  22,            0.077131,            0.011655,           0.0083607,              0.2166,             0.17508,             0.10679,            0.030247,            0.088849,            0.011387,           0.0099822,           0.0072243,           0.0072243,            0.031424
                  23,            0.078874,            0.011908,           0.0081302,             0.14302,             0.28144,            0.083597,            0.021603,            0.091107,            0.012093,            0.010385,           0.0075049,           0.0075049,            0.028405
                  24,             0.07985,            0.011511,           0.0070928,             0.28455,             0.16924,             0.10256,            0.024472,            0.091549,            0.012555,           0.0095218,           0.0077813,           0.0077813,            0.025381
                  25,            0.078334,             0.01173,           0.0076501,             0.17181,             0.16922,            0.056001,            0.016888,            0.087199,            0.012481,            0.011283,           0.0080533,           0.0080533,            0.022353
                  26,            0.079668,            0.012009,           0.0080449,             0.19946,            0.075736,            0.031839,            0.006174,            0.097202,            0.011628,            0.011696,           0.0083207,           0.0083207,            0.019321
                  27,              0.0821,            0.011936,           0.0074162,             0.12744,             0.07971,             0.05494,            0.016223,            0.095441,            0.011335,            0.012197,           0.0085834,           0.0085834,            0.016283
                  28,            0.076434,            0.012035,            0.007634,             0.53837,            0.072464,              0.0101,           0.0020389,             0.10021,            0.012627,            0.011831,           0.0088412,           0.0088412,            0.013241
                  29,            0.078326,            0.012161,           0.0082381,             0.19802,             0.10122,            0.043322,           0.0082436,            0.089506,            0.012255,             0.01063,            0.009094,            0.009094,            0.010194
